num_of_innings,total_runs,opponent_runs,game_id,game_date,game_location,game_attendance,is_top,team,season,opponent_innings_played,opponent,full_game_runs,opponent_full_game_runs,average_fgr,average_fgr_allowed,win_percentage,is_sec_matchup,sec_win_percentage,sec_average_fgr,sec_average_fgr_allowed,lag_average_fgr,lag_average_fgr_allowed,lag_win_percentage,lag_sec_win_percentage,lag_sec_average_fgr,lag_sec_average_fgr_allowed,game_count,is_power_5,most_recent_era,days_since_era_update,ly_era,conference
5,11,0,895357,2012-02-18,"Las Vegas, Nev.",0,1,LSU,2012,5,CSUN,15.4,0,6.3,1.4,0.6,1,0.6,6.3,1.4,4.02,1.75,0.5,0.5,4.02,1.75,5,0,5.19,233,5.19,Big West
7,4,1,895406,2012-02-18,"Tampa, Fla.",105,1,Arkansas,2012,7,Drake,4,1,9.99,2.86,0.71,1,0.71,9.99,2.86,10.98,3.17,0.67,0.67,10.98,3.17,7,0,2.42,233,2.42,MVC
4,11,1,895083,2012-02-18,"Gainesville, Fla.",1278,0,Florida,2012,5,Michigan St.,19.25,1.4,11.42,0.69,1,1,1,11.42,0.69,10.31,0.58,1,1,10.31,0.58,8,1,3.79,233,3.79,Big Ten
7,1,3,895105,2012-02-18,"Miami, Fla.",450,1,South Carolina,2012,6,FIU,1,3.5,6.64,4.09,0.5,1,0.5,6.64,4.09,8.52,4.29,0.67,0.67,8.52,4.29,4,0,2.69,233,2.69,Sun Belt
6,7,3,895278,2012-02-18,"AUBURN, Ala.",500,0,Alabama,2012,7,Virginia Tech,8.166666666666666,3,11.53,3.01,1,1,1,11.53,3.01,12.2,3.01,1,1,12.2,3.01,6,1,2.98,233,2.98,ACC
7,1,3,895356,2012-02-18,"Las Vegas, Nev.",387,0,LSU,2012,7,DePaul,1,3,5.41,1.67,0.5,1,0.5,5.41,1.67,6.3,1.4,0.6,0.6,6.3,1.4,6,0,2.79,233,2.79,AAC
6,1,0,895445,2012-02-19,"Auburn, AL",345,0,Auburn,2012,7,Virginia Tech,1.1666666666666667,0,7.96,1.35,1,1,1,7.96,1.35,9.09,1.58,1,1,9.09,1.58,7,1,2.98,234,2.98,ACC
9,2,3,895470,2012-02-19,"Austin, Texas",580,1,Tennessee,2012,9,Texas,1.5555555555555556,2.3333333333333335,5.65,4.17,0.75,1,0.75,5.65,4.17,6.24,4.43,0.86,0.86,6.24,4.43,8,1,1.36,234,1.36,Big 12
4,15,4,895438,2012-02-19,"Gainesville, Fla.",758,0,Florida,2012,5,Michigan St.,26.25,5.6,13.07,1.23,1,1,1,13.07,1.23,11.42,0.69,1,1,11.42,0.69,9,1,3.79,234,3.79,Big Ten
6,12,5,895431,2012-02-19,"Auburn, Ala.",415,0,Auburn,2012,7,Georgia Tech,14,5,8.71,1.81,1,1,1,8.71,1.81,7.96,1.35,1,1,7.96,1.35,8,1,2.37,234,2.37,ACC
7,3,1,895529,2012-02-19,"AUBURN, Ala.",482,1,Alabama,2012,7,Oklahoma St.,3,1,10.31,2.72,1,1,1,10.31,2.72,11.53,3.01,1,1,11.53,3.01,7,1,2.23,234,2.23,Big 12
5,3,14,895564,2012-02-19,"Las Vegas, Nev.",414,0,LSU,2012,5,California,4.2,19.6,5.24,4.23,0.43,1,0.43,5.24,4.23,5.41,1.67,0.5,0.5,5.41,1.67,7,1,1.7,234,1.7,Pac-12
5,13,0,895567,2012-02-19,"Las Vegas, Nev.",414,1,LSU,2012,5,Utah St.,18.2,0,6.86,3.7,0.5,1,0.5,6.86,3.7,5.24,4.23,0.43,0.43,5.24,4.23,8,0,5.64,234,5.64,WAC
6,5,1,895592,2012-02-19,"Tampa, Fla.",132,0,Arkansas,2012,7,Wisconsin,5.833333333333333,1,9.47,2.62,0.75,1,0.75,9.47,2.62,9.99,2.86,0.71,0.71,9.99,2.86,8,1,2.87,234,2.87,Big Ten
7,6,11,895461,2012-02-19,"Oxford, Miss.",157,0,Ole Miss,2012,7,Murray St.,6,11,6.32,7.37,0.4,1,0.4,6.32,7.37,6.4,6.47,0.5,0.5,6.4,6.47,5,0,5.17,234,5.17,OVC
9,1,2,895531,2012-02-19,"Boca Raton, FL",0,1,Kentucky,2012,9,Maryland,0.7777777777777778,1.5555555555555556,2.07,4.78,0.44,1,0.44,2.07,4.78,2.23,5.18,0.5,0.5,2.23,5.18,9,1,1.84,234,1.84,ACC
5,15,3,895573,2012-02-19,"Miami, Fla.",0,1,South Carolina,2012,5,Villanova,21,4.2,9.51,4.11,0.6,1,0.6,9.51,4.11,6.64,4.09,0.5,0.5,6.64,4.09,5,0,3.85,234,3.85,AAC
6,5,0,895499,2012-02-19,"Starkville, Miss.",124,0,Mississippi St.,2012,7,SIUE,5.833333333333333,0,6.19,2.57,0.86,1,0.86,6.19,2.57,6.25,3,0.83,0.83,6.25,3,7,0,3.33,234,3.33,OVC
4,9,1,895501,2012-02-19,"Oxford, Miss.",157,0,Ole Miss,2012,5,Belmont,15.75,1.4,7.89,6.38,0.5,1,0.5,7.89,6.38,6.32,7.37,0.4,0.4,6.32,7.37,6,0,5.01,234,5.01,ASUN
